name,id,pid,level
"Technology Stack","1",NULL,"l1"
"Frontend","2","1","l2"
"Backend","3","1","l2"
"Database","4","1","l2"
"React.js","5","2","l3"
"Vue.js","6","2","l3"
"HTML/CSS","7","2","l3"
"Node.js","8","3","l3"
"Python","9","3","l3"
"Java","10","3","l3"
"PostgreSQL","11","4","l3"
"MongoDB","12","4","l3"
"Redis","13","4","l3"
"React Components","14","5","l4"
"React Hooks","15","5","l4"
"Vue Components","16","6","l4"
"Responsive Design","17","7","l4"
"Express.js","18","8","l4"
"FastAPI","19","9","l4"
"Spring Boot","20","10","l4"
